variable,importancia_media,desviacion
ENTIDAD,0.1840233794220155,0.00939927362233452
NIVEL_DE_GRAVEDAD,0.056424390082405886,0.004728845030079038
IMC,0.03208663147313234,0.0037387319559348486
EDAD,0.030888436094842008,0.0029934967683493906
DIAS_ESTANCIA,0.02521988936308538,0.002018401820560461
MES,0.0028882073569335143,0.0008424852883805545
GENERO,0.0025534373890170213,0.0007977427595620714
ES_INDIGENA,0.0013491172522558492,0.0007494427333141849
