modelo,ultimo_roc_auc_entrenamiento,ultimo_roc_auc_validacion,brecha_final_entrenamiento_validacion
baseline,0.5,0.5,0.0
regresion_logistica,0.6106010622334177,0.6063878008441383,0.004213261389279355
random_forest,0.8312084122131317,0.7605921728351009,0.07061623937803074
svm_lineal,0.6104100770038021,0.6061907373605209,0.00421933964328125
